,imdb_title_id,title,year,genre,duration,country,language,actors,avg_vote,votes,description,director
30,tt0010853,Wagon Tracks,1919,Western,64,USA,,"William S. Hart, Jane Novak, Robert McKim, Lloyd Bacon, Leo Pierson, Bert Sprotte, Charles Arling",6.7,152,"Buckskin Hamilton guides a wagon train across the wasteland, caring well for the pioneers he escorts, but hoping to solve the murder of his brother by one of the travellers.",Lambert Hillyer
31,tt0010879,Quando le nuvole volano via,1919,"Action, Comedy, Romance",85,USA,English,"Douglas Fairbanks, Albert MacQuarrie, Kathleen Clifford, Frank Campeau, Ralph Lewis, Herbert Grimwood, Daisy Jefferson, Bull Montana, Victor Fleming, Thomas J. Geraghty, William C. McGann, Harris Thorpe",6.9,775,Psychiatrist Dr. Ulrich Metz attempts to drive Daniel Brown to suicide.,Victor Fleming
32,tt0010890,The Wicked Darling,1919,"Drama, Crime",59,USA,English,"Priscilla Dean, Wellington A. Playter, Lon Chaney, Spottiswoode Aitken, Gertrude Astor, Kalla Pasha",6.4,337,"A slum girl is forced to steal for a living. After she swipes a rich society's matron's necklace, she hides out at the home of a man who turns out to be the socialite's former fiance.",Tod Browning
33,tt0010925,Yankee Doodle in Berlin,1919,Comedy,58,USA,English,"Bothwell Browne, Ford Sterling, Malcolm St. Clair, Bert Roach, Eva Thatcher, Marie Prevost, Ben Turpin, Charles Murray, Chester Conklin, Heinie Conklin, Joseph Belmont",5.5,722,"Behind enemy lines, Captain Bob White disguises himself as a woman in order to fool members of the German High Command, including the Kaiser himself.",F. Richard Jones
34,tt0010953,Algol - Tragödie der Macht,1920,"Fantasy, Sci-Fi",99,Germany,,"Emil Jannings, John Gottowt, Hans Adalbert Schlettow, Hanna Ralph, Erna Morena, Ernst Hofmann, Gertrude Welcker, Käthe Haack, Sebastian Droste",6.3,138,An alien from the planet Algol gives a man a device that gives him superpowers.,Hans Werckmeister
35,tt0010962,Anna Bolena,1920,"Biography, Drama, Romance",100,Germany,German,"Henny Porten, Emil Jannings, Paul Hartmann, Ludwig Hartau, Aud Egede-Nissen, Hedwig Pauly-Winterstein, Hilde Müller, Maria Reisenhofer, Ferdinand von Alten, Adolf Klein, Paul Biensfeldt, Wilhelm Diegelmann, Friedrich Kühne, Karl Platen, Erling Hanson",6.6,576,"The story of the ill-fated second wife of the English king Henry VIII, whose marriage to the Henry led to momentous political and religious turmoil in England.",Ernst Lubitsch
36,tt0010964,April Folly,1920,"Drama, Crime",50,USA,English,"Marion Davies, Madeline Marshall, Hattie Delaro, Amelia Summerville, Conway Tearle, J. Herbert Frank, Warren Cook, Spencer Charters, Charles Peyton, Agnes Neilson",6.4,129,"April Folly is a 1920 American silent drama film directed by Robert Z. Leonard and written by Adrian Johnson and Cynthia Stockley. The film stars Marion Davies, Madeline Marshall, Hattie ...",Robert Z. Leonard
37,tt0010969,L'atlantide,1921,"Adventure, Fantasy, Mystery",136,"France, Belgium",French,"Jean Angelo, Stacia Napierkowska, Georges Melchior, Marie-Louise Iribe, Abd-el-Kader Ben Ali, Mohamed Ben Noui, Paul Franceschi, André Roanne, Genica Missirio, René Lorsay, Barbier, Chatelain, Émile Daltour, David, Fernand Ledoux",6.7,315,"Two men, lost in the desert, meet Queen Antinea, ruler of Atlantis.",Jacques Feyder
38,tt0011000,Pagine dal libro di Satana,1920,Drama,167,Denmark,,"Helge Nissen, Halvard Hoff, Jacob Texiere, Hallander Helleman, Ebon Strandin, Johannes Meyer, Nalle Halden, Tenna Kraft, Viggo Wiehe, Emma Wiehe, Jeanne Tramcourt, Hugo Bruun, Elith Pio, Emil Helsengreen, Viggo Lindstrøm",6.7,1083,"In 4 episodic tales of human suffering; the temptation of Jesus, the Spanish Inquisition, the French Revolution and the Russo-Finnish war of 1918, Satan attempts to win God's favor.",Carl Theodor Dreyer
39,tt0011130,Dr. Jekyll e Mr. Hyde,1920,"Drama, Horror, Sci-Fi",69,USA,English,"John Barrymore, Brandon Hurst, Martha Mansfield, Charles Lane, Cecil Clovelly, Nita Naldi, Louis Wolheim",7.0,4753,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",John S. Robertson
40,tt0011157,Erotikon,1920,"Comedy, Romance",106,Sweden,Swedish,"Anders de Wahl, Tora Teje, Karin Molander, Elin Lagergren, Lars Hanson, Vilhelm Bryde, Bell Hedqvist, Torsten Hammarén, Vilhelm Berndtson, Stina Berg, John Lindlöf, Greta Lindgren, Carl Wallin, Gucken Cederborg, Tora Wibergh",6.6,717,"EROTIKON surely pushed the boundaries of what was acceptable on the screen in 1920: Irene, the bored wife of a distracted entomologist, pursues a womanizing aviator, but she may actually be...",Mauritz Stiller
41,tt0011173,Fante-Anne,1920,"Crime, Drama, Romance",93,Norway,,"Asta Nielsen, Einar Tveito, Johanne Bruhn, Lars Tvinde, Dagmar Myhrvold, Henny Skjønberg, Kristine Ullmo, Magnus Falkberget, Anders Skrede, Edvard Drabløs, Elsa Vang, Olaf Solberg, Øygard",6.2,123,"The story of an orphaned girl brought up by the Storlein family. Young Anne (Asta Nielsen) is brought as an infant to the Storlein farm by her mother, who has been traveling and is in need ...",Rasmus Breistein
42,tt0011193,The Flapper,1920,Comedy,88,USA,English,"Olive Thomas, Theodore Westman Jr., William P. Carleton, Warren Cook, Katherine Johnston, Arthur Housman, Louise Lindroth, Marcia Harris, Charles Craig, Bobby Connelly, Maurice Steuart",6.6,291,"Ginger grows up in a slow town. Because of her wild attitude, her father decides to send her to a strict boarding school. Despite the strictness, the girls have fun getting into flapper lifestyle trouble including flirting.",Alan Crosland
43,tt0011217,Il cammino nella notte,1921,Drama,81,"Germany, Denmark",German,"Olaf Fønss, Erna Morena, Conrad Veidt, Gudrun Bruun Stephensen, Clementine Plessner",6.4,308,"Dr Eigil Borne is engaged to Hélène, a girl who is madly in love with him. At Hélène's birthday celebration, Eigil invites her to a cabaret, where he meets his other love, Lily, a passionate, fiery and funny dancer.",F.W. Murnau
44,tt0011221,Genuine,1920,Horror,88,Germany,German,"Fern Andra, Hans Heinrich von Twardowski, Ernst Gronau, Harald Paulsen, Albert Bennefeld, John Gottowt, Louis Brody",6.0,848,"Extremely rare work of Robert Wiene. From the director and year of excellent ""The Cabinet of Dr. Caligari"" this work was eventually overshadowed by the success of Caligari. It has a dreamy atmosphere, like another world or something.",Robert Wiene
45,tt0011237,Il Golem - Come venne al mondo,1920,"Fantasy, Horror",76,Germany,,"Paul Wegener, Albert Steinrück, Lyda Salmonova, Ernst Deutsch, Hans Stürm, Max Kronert, Otto Gebühr, Dore Paetzold, Lothar Müthel, Greta Schröder, Loni Nest",7.2,6577,"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.","Carl Boese, Paul Wegener"
46,tt0011267,Headin' Home,1920,"Biography, Comedy, Drama",71,USA,English,"Babe Ruth, Ruth Taylor, William Sheer, Margaret Seddon, Frances Victory, James A. Marcus, Ralf Harolde, Charles Byer, George Halpin, William J. Gross, Walter Lawrence, Ann Brody, Ricca Allen, Sammy Blum, Ethel Kerwin",5.1,260,"The ""true story"" of baseball great Babe Ruth; Ruth plays himself.",Lawrence C. Windom
47,tt0011294,L'Hirondelle et la Mésange,1924,Drama,80,France,French,"Maguy Deliac, Pierre Alcover, Louis Ravet, Jane Maylianes, Georges Denola",7.1,165,"A bargeman, his wife and sister-in-law navigate the canals of northern Belgium in their two vessels, the eponymous ""L'Hirondelle et la Mésange,"" taking the time to appreciate the sites and ...",André Antoine
48,tt0011302,La giustizia del mare,1920,Drama,86,France,French,"Jaque Catelain, Roger Karl, Charles Boyer, Philippe Hériat, Marcelle Pradot, Claire Prélia, Claude Autant-Lara, Dimitri Dragomir, Suzanne Doris, Lili Samuel, Georges Forois, Pâquerette, Jeanne Bérangère, André Daven, Jane Dolys",6.9,187,"Nolff, a tough Breton fisherman is happy: his wife has just given birth to a son, Michel. His only wish is to make him a fisherman like him. But when he becomes a man, Michel becomes a ...",Marcel L'Herbier
